"","Nombre","Marca","Precio","Supermercado","Hora","unidad","precio_unidad","Categoria","Subcategoria","Estado"
"12947","Mix de frutos secos harmony Naturmundo de Dia bolsa 200 g","Agroserc, S.A.",2.95,"Dia",24364,"KILO",14.75,"Patatas fritas, encurtidos y frutos secos","Frutos secos","Añadir"
"12948","Golosinas smoo free magic mix Fini bolsa 165 g","FINI GOLOSINAS ESPAÑA, S.L.U.",2.25,"Dia",24364,"KILO",13.64,"Azúcar, chocolates y caramelos","Caramelos, chicles y golosinas","Agotado"
"12949","Ambientador rosas Splash spray 300 ml",NA,1.3,"Dia",24364,"LITRO",4.33,"Limpieza y hogar","Ambientadores","Agotado"
"12950","Helado cono sabor nocilla con trozos de avellanas 4 unidades Cornetto caja 240 g","Unilever España S.A.",4.99,"Dia",24364,"KILO",20.79,"Congelados","Helados y hielo","Agotado"
"12951","Protector solar protege & hidrata spf 30 Nivea spray 270 ml",NA,14.49,"Dia",24365,"100ml",5.37,"Perfumería, higiene, salud","Cremas solares","Añadir"
"12952","Ambientador automático colonia Splash spray 250 ml",NA,2.09,"Dia",24365,"LITRO",8.36,"Limpieza y hogar","Ambientadores","Agotado"
"12953","Cerveza sin alcohol Mahou lata 33 cl","MAHOU, S.A.",0.7,"Dia",24365,"LITRO",2.12,"Cervezas, vinos y bebidas con alcohol","Cervezas sin alcohol","Añadir"
"12954","Pechuga de pollo Elpozo sobre 115 g","ELPOZO ALIMENTACIÓN S.A.",1.5,"Dia",24365,"KILO",13.04,"Charcutería y quesos","Jamón cocido, lacón, fiambres y mortadela","Agotado"
"12955","Cereales con chocolate Kit Kat caja 330 g","NESTLÉ ESPAÑA, S.A.",3.99,"Dia",24365,"KILO",12.09,"Galletas, bollos y cereales","Cereales","Añadir"
"12956","Pasta tagliatelle sin gluten Al Diante Dia bolsa 250 g",NA,1.95,"Dia",24365,"KILO",7.8,"Arroz, pastas y legumbres","Pastas","Añadir"
"12957","Pasta de dientes para niños + 2 años Planeta Bebé de Dia tubo 75 ml","Fushima, SL",1.9,"Dia",24365,"100ml",2.53,"Perfumería, higiene, salud","Cuidado bucal","Añadir"
"12958","Agua de colonia familiar lavanda Imaqe de Dia frasco 750 ml",NA,1.95,"Dia",24365,"100ml",0.26,"Perfumería, higiene, salud","Colonias","Añadir"
"12959","Champú duplo repara y protege Pantene botella 2 x 385 ml",NA,6.99,"Dia",24366,"100ml",0.91,"Perfumería, higiene, salud","Champú","Añadir"
"12960","Perlas para lavadora classics Flores de Algodón Lenor botella 210 g",NA,5.59,"Dia",24366,"100g",2.66,"Limpieza y hogar","Cuidado de la ropa","Añadir"
"12961","Chutney de mango y cebolla La vieja fabrica frasco 280 g","Ángel Camacho Alimentación S.L.",2.79,"Dia",24366,"KILO",9.96,"Aceites, salsas y especias","Mayonesa, ketchup y otras salsas","Añadir"
"12962","Chocolate con leche con relleno cremoso y trocitos de galleta Tosta Rica Nestlé Extrafino 84 g","NESTLÉ ESPAÑA, S.A",1.25,"Dia",24366,"KILO",14.88,"Azúcar, chocolates y caramelos","Chocolates y bombones","Añadir"
"12963","Yogur cremoso con cereza y granola Dia Láctea vaso 230 g",NA,1.49,"Dia",24366,"KILO",6.48,"Yogures y postres","Yogures de sabores y frutas","Añadir"
"12964","Ambientador mikado aromaterapia energy Imaqe de Dia caja 40 ml","Hugworld International Distributions, S.L.",2.69,"Dia",24366,"LITRO",67.25,"Limpieza y hogar","Ambientadores","Añadir"
"12965","Crema con queso semicurado Dia Láctea tarrina 125 g","Quesos Aldonza y Don Ismael, S.L",1.32,"Dia",24366,"KILO",10.56,"Charcutería y quesos","Quesos fundidos y cremas","Añadir"
"12966","Lavavajillas máquina todo en 1 lima y limón Somat botella 1.08 l",NA,9.99,"Dia",24367,"LITRO",9.25,"Limpieza y hogar","Lavavajillas","Añadir"
"12967","Colonia blue mini Flor de mayo frasco 23 ml",NA,1.7,"Dia",24367,"100ml",7.39,"Perfumería, higiene, salud","Colonias","Añadir"
"12968","Pétalos de salchichón extra 50% Duroc Boadas sobre 80 g",NA,2.09,"Dia",24367,"KILO",26.13,"Charcutería y quesos","Lomo, chorizo, fuet, salchichón","Añadir"
"12969","Boquerones al vinagre con ajo y perejil MSC Mari Marinera de Dia bandeja 80 g","Desarrollos e Industrias Marinas, S.L.",2.49,"Dia",24367,"KILO",31.13,"Pescados, mariscos y ahumados","Ahumados, salazones y preparados","Añadir"
"12970","Toallitas aqua Planeta Bebé de Dia bolsa 60 unidades","Optimal Care S.A.",1.8,"Dia",24367,"UNIDAD",0.03,"Bebé","Pañales y toallitas","Añadir"
"12971","Edamame Gvtarra frasco 185 g","Conservas Hijos de Manuel Sánchez Basarte.",2.69,"Dia",24367,"KILO",14.54,"Conservas, caldos y cremas","Conservas vegetales","Añadir"
"12972","Alimento para gatos bocaditos con trucha, salmón y verduras Deligato Dia lata 400 g","Deuerer Petcare France ZAC de la Boulbène",0.7,"Dia",24367,"KILO",1.75,"Mascotas","Gatos","Añadir"
"12973","Albóndigas de pollo Selección de Dia bandeja 420 g","Aves Nobles y Derivados, S.L.",3.79,"Dia",24367,"KILO",9.02,"Carnicería","Pollo","Añadir"
"12974","Desatascador baño acción turbo Sanicentro botella 1 l",NA,3.99,"Dia",24368,"LITRO",3.99,"Limpieza y hogar","Limpia muebles y multiusos","Añadir"
"12975","Ambientador para coche y hogar chicle de fresa Imaqe de Dia 4 ml","MTM Industries Sp. z o.o.",1.85,"Dia",24368,"LITRO",462.5,"Limpieza y hogar","Ambientadores","Añadir"
"12976","Tiritas surtidas Botikit de Dia caja 30 unidades","CMC Consumer Medical Care GmbH",0.99,"Dia",24368,"UNIDAD",0.03,"Perfumería, higiene, salud","Parafarmacia","Añadir"
"12977","Body mist verbena flower Imaqe de Dia spray 200 ml","LABORATORIOS SAPHIR SAU",3,"Dia",24368,"100ml",1.5,"Perfumería, higiene, salud","Colonias","Añadir"
"12978","Carrot cake Caprichoso Dia pack 2 x 90 g","Postres y Dulces Reina, S.L.",1.49,"Dia",24368,"KILO",8.28,"Yogures y postres","Gelatinas y otros postres","Añadir"
"12979","Detergente máquina fusión floral Puntomatic bolsa 12 lavados",NA,2.89,"Dia",24368,"LAVADO",0.24,"Limpieza y hogar","Cuidado de la ropa","Añadir"
"12980","Iluminador corporal perfumado Imaqe de Dia botella 100 ml","Laboratorios Neum Spain, S.L. B96056593.",3.9,"Dia",24368,"100ml",3.9,"Perfumería, higiene, salud","Hidratación corporal","Añadir"
"12981","Helado de chocolate con cacahuetes conguitos Temptation de Dia tarrina 350 g","Lacrem, S.A.U.",3.49,"Dia",24368,"KILO",9.97,"Congelados","Helados y hielo","Añadir"
"12982","Cerveza sin filtrar Mahou 5 Estrellas botella 33 cl","MAHOU, S.A.",0.99,"Dia",24369,"LITRO",3,"Cervezas, vinos y bebidas con alcohol","Cervezas","Añadir"
"12983","Verduras en tempura Cocinarte bolsa 400 g",NA,2.69,"Dia",24369,"KILO",6.73,"Congelados","Verduras, hortalizas y salteados","Añadir"
"12984","Pechuga de pavo bajo en grasa y reducido en sal Nuestra Alacena de Dia 500 g","ElPozo Alimentación, S.A.",3.89,"Dia",24369,"KILO",7.78,"Charcutería y quesos","Jamón cocido, lacón, fiambres y mortadela","Añadir"
"12985","Cortadillos con crema de cacao Inés Rosales bolsa 144 g","INÉS ROSALES, S.A.U.",1.99,"Dia",24369,"KILO",13.82,"Galletas, bollos y cereales","Bollería","Añadir"
"12986","Compresas incontinencia normal Ausonia Discreet bolsa 14 unidades",NA,5.49,"Dia",24370,"UNIDAD",0.39,"Perfumería, higiene, salud","Compresas y cuidado íntimo","Añadir"
"12987","Helado bombón triple experience con frambuesa Ferrero Rafaello caja 138 g","Ferrero Ibérica, S.A.",4.59,"Dia",24370,"KILO",33.26,"Congelados","Helados y hielo","Añadir"
"12988","Cacahuetes con cáscara tostados sin sal añadida Naturmundo de Dia bolsa 250 g","Damel Group S.L.",1.25,"Dia",24370,"KILO",5,"Patatas fritas, encurtidos y frutos secos","Frutos secos","Añadir"
"12989","Suavizante concentrado azul vital Mimosin botella 56 lavados",NA,3.25,"Dia",24370,"LAVADO",0.06,"Limpieza y hogar","Cuidado de la ropa","Añadir"
"12990","Picos artesanos sin gluten Abuelobread bolsa 100 g","TFT Food, S.L.",1.55,"Dia",24370,"KILO",15.5,"Panes, harinas y masas","Picos y panes tostados","Añadir"
